2023-12-07 13:06:19,460 INFO  [main] o.a.j.o.r.c.LoggingInitializer - Logging configured from /Users/nitigup/jackrabbit_oak_fork/jackrabbit-oak/temp/logback-indexing.xml 
2023-12-07 13:06:19,463 INFO  [main] o.a.j.o.r.c.LoggingInitializer - Any change in logging config would be picked up 
2023-12-07 13:06:19,465 INFO  [main] o.a.j.o.r.c.LoggingInitializer - Logs would be written to temp/indexing.log 
2023-12-07 13:06:19,465 INFO  [main] o.a.j.oak.index.IndexCommand - Command line arguments used for indexing [--bootstrap-index --read-write --source-index=/oak:index/socialLucene --dest-index=/oak:index/socialLucene-4 --fds-path=path=/Users/nitigup/quickstart/author/crx-quickstart/repository/datastore mongodb://localhost:27017/aem-author] 
2023-12-07 13:06:19,481 INFO  [main] o.a.j.oak.index.IndexCommand - System properties and vm options passed [-javaagent:/Applications/IntelliJ IDEA CE.app/Contents/lib/idea_rt.jar=64184:/Applications/IntelliJ IDEA CE.app/Contents/bin, -Dfile.encoding=UTF-8] 
2023-12-07 13:06:24,891 INFO  [main] org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=10000, description='MongoConnection for Oak DocumentMK'} 
2023-12-07 13:06:24,952 INFO  [main] org.mongodb.driver.cluster - Cluster description not yet available. Waiting for 30000 ms before timing out 
2023-12-07 13:06:24,974 INFO  [cluster-ClusterId{value='657175f843eadd59cf89052e', description='MongoConnection for Oak DocumentMK'}-localhost:27017] org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:3490}] to localhost:27017 
2023-12-07 13:06:24,987 INFO  [cluster-ClusterId{value='657175f843eadd59cf89052e', description='MongoConnection for Oak DocumentMK'}-localhost:27017] org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 22]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=10368210} 
2023-12-07 13:06:25,019 INFO  [main] org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:3491}] to localhost:27017 
2023-12-07 13:06:25,420 INFO  [main] o.a.j.o.p.d.m.MongoDocumentStore - Connected to MongoDB 4.2.22 with maxReplicationLagMillis 21600000, maxDeltaForModTimeIdxSecs 60, disableIndexHint false, leaseSocketTimeout 0, clientSessionSupported true, clientSessionInUse true, WriteConcern{w=null, wTimeout=null ms, fsync=null, journal=null, serverStatus {process=mongod, mem={"bits": 64, "resident": 312, "virtual": 57419, "supported": true}, host=Nitins-MacBook-Pro-8.local, connections={"current": 18, "available": 51182, "totalCreated": 3491, "active": 1}, storageEngine={"name": "wiredTiger", "supportsCommittedReads": true, "oldestRequiredTimestampForCrashRecovery": {"$timestamp": {"t": 0, "i": 0}}, "supportsPendingDrops": true, "dropPendingIdents": {"$numberLong": "0"}, "supportsSnapshotReadConcern": true, "readOnly": false, "persistent": true, "backupCursorOpen": false}}, throttlingSupported false 
2023-12-07 13:06:25,435 INFO  [main] o.a.j.o.p.d.DocumentNodeStore - Server time difference: -8ms (max allowed: 2000ms) 
2023-12-07 13:06:25,515 INFO  [main] o.a.j.o.p.d.ClusterNodeInfo - Acquired (existing (invisible)) clusterId 2. MachineId mac:3c22fb9c7efb, InstanceId /Users/nitigup/jackrabbit_oak_fork/jackrabbit-oak, RuntimeId (changed) null -> 6202438b-1187-4c68-b097-043399dc1079 
2023-12-07 13:06:25,665 INFO  [main] o.a.j.o.p.d.DocumentNodeStore - ChangeSetBuilder enabled and size set to maxItems: 50, maxDepth: 9 
2023-12-07 13:06:25,665 INFO  [main] o.a.j.o.p.d.DocumentNodeStore - Initialized DocumentNodeStore with clusterNodeId: 2, updateLimit: 100000 (id: 2, startTime: 1701934585478, machineId: mac:3c22fb9c7efb, instanceId: /Users/nitigup/jackrabbit_oak_fork/jackrabbit-oak, runtimeId: 6202438b-1187-4c68-b097-043399dc1079, pid: 53533, uuid: 86bbb34a-d5dd-4984-8aec-de4ead05517a, readWriteMode: null, leaseCheckMode: STRICT, state: ACTIVE, oakVersion: SNAPSHOT, formatVersion: 1.8.0, invisible: true) 
2023-12-07 13:06:25,718 INFO  [main] o.a.j.o.p.d.b.BundlingConfigHandler - Refreshing the BundledTypesRegistry 
2023-12-07 13:06:25,719 INFO  [main] o.a.j.o.p.d.b.BundlingConfigHandler - Bundling of nodes enabled 
2023-12-07 13:06:26,173 INFO  [main] o.a.j.o.p.d.DocumentNodeStore - Starting disposal of DocumentNodeStore with clusterNodeId: 2 (id: 2, startTime: 1701934585478, machineId: mac:3c22fb9c7efb, instanceId: /Users/nitigup/jackrabbit_oak_fork/jackrabbit-oak, runtimeId: 6202438b-1187-4c68-b097-043399dc1079, pid: 53533, uuid: 86bbb34a-d5dd-4984-8aec-de4ead05517a, readWriteMode: null, leaseCheckMode: STRICT, state: ACTIVE, oakVersion: SNAPSHOT, formatVersion: 1.8.0, invisible: true) 
2023-12-07 13:06:26,187 INFO  [DocumentNodeStore background purge thread (2)] org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:3492}] to localhost:27017 
2023-12-07 13:06:26,208 INFO  [main] o.a.j.o.p.d.DocumentNodeStore - Disposed DocumentNodeStore with clusterNodeId: 2, (successful) 
